t,hour,acc,acc_true,T_deck,T_air,wind,turbulence,traffic_rate,exc_rms,damage,regime,f1,f2,a1,a2,a3,a4
2.35,0.07833333,0.0008994428,0.001584613,6.106606,6.103791,2.540814,0.1066961,50.06109,0.001091466,0,0,2.023368,6.046735,0.9730503,-0.9177652,0.8681365,-0.9093226
2.4,0.08,0.000313344,0.0002347786,6.106608,6.10558,2.540985,0.1084857,50.06123,0.001087285,0,0,2.023368,6.046734,0.9730503,-0.9177652,0.8681366,-0.9093226
2.45,0.08166667,-0.0004571619,-0.0006310736,6.10661,6.107369,2.541156,0.1102754,50.06138,0.001088211,0,0,2.023368,6.046734,0.9730503,-0.9177652,0.8681366,-0.9093226
2.5,0.08333333,-0.0006796474,-0.001099096,6.106612,6.109159,2.541326,0.112065,50.06152,0.001077636,0,0,2.023368,6.046734,0.9730503,-0.9177652,0.8681366,-0.9093226
2.55,0.085,0.0002644108,-0.0007002856,6.106678,6.116881,2.551933,0.1108181,50.06167,0.00108261,0,0,2.023368,6.046734,0.9730509,-0.9177659,0.8681372,-0.9093227
2.6,0.08666667,-0.001538937,-0.00172132,6.106745,6.124603,2.562539,0.1095712,50.06182,0.001087359,0,0,2.023367,6.046733,0.9730515,-0.9177665,0.8681378,-0.9093227
2.65,0.08833333,-0.001570062,-0.0008915082,6.106811,6.132325,2.573145,0.1083243,50.06197,0.001094516,0,0,2.023367,6.046732,0.9730521,-0.9177672,0.8681384,-0.9093227
2.7,0.09,0.0004498916,0.0007758622,6.106877,6.140047,2.583751,0.1070774,50.06212,0.001113958,0,0,2.023366,6.046731,0.9730527,-0.9177678,0.868139,-0.9093227
2.75,0.09166667,0.001381701,0.001268328,6.106943,6.14777,2.594357,0.1058305,50.06227,0.001145052,0,0,2.023366,6.04673,0.9730533,-0.9177684,0.8681396,-0.9093227
2.8,0.09333333,0.0006436103,0.0007524842,6.107009,6.155492,2.604963,0.1045836,50.06242,0.001142525,0,0,2.023366,6.04673,0.9730539,-0.9177691,0.8681402,-0.9093227
2.85,0.095,0.0009224418,0.0009391168,6.107076,6.163214,2.615569,0.1033367,50.06256,0.001133864,0,0,2.023365,6.046729,0.9730545,-0.9177697,0.8681408,-0.9093227
